ID,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,negGeProDr_label,firstLine,acceleratedApproval,metastatic
117,"Ras, epidermal growth factor receptor, K-Ras",Cetuximab,Colorectal cancer,ERBITUX- cetuximab solution,"66733-948-23, 66733-958-23",,Yes,,Yes
118,*,Chlorambucil,Chronic lymphocytic leukemia,,,,,,
119,*,Chlorambucil,Non-Hodgkin lymphoma,,,,,,
120,*,Chlorambucil,Hodgkin lymphoma,,,,,,
121,*,Ciltacabtagene Autoleucel,multiple myeloma,"CARVYKTI- ciltacabtagene autoleucel injection, suspension","57894-111-01, 57894-111-02",,,,
122,*,Cisplatin,Ovarian cancer,,,,,,
123,*,Cisplatin,Bladder cancer,,,,,,
124,*,Cisplatin,Testicular cancer,,,,,,
125,*,Cladribine,Hairy cell leukemia,,,,,,
126,*,Clofarabine,Acute lymphoblastic leukemia,,,,,,
127,BRAF,Cobimetinib Fumarate,Melanoma,"COTELLIC- cobimetinib tablet, film coated",50242-717-01,,,,Yes
128,*,Cobimetinib Fumarate,Histiocytic cancers,"COTELLIC- cobimetinib tablet, film coated",50242-717-01,,,,
129,"ALK, XALKORI",Crizotinib,Non-small cell lung cancer,XALKORI- crizotinib capsule,"0069-0251-60, 0069-0507-60, 0069-1500-60, 0069-8140-20, 0069-8141-20",,,,Yes
130,XALKORI,Crizotinib,Inflammatory myofibroblastic tumor,XALKORI- crizotinib capsule,"0069-0251-60, 0069-0507-60, 0069-1500-60, 0069-8140-20, 0069-8141-20",,,,Yes
131,XALKORI,Crizotinib,Anaplastic large cell lymphoma,XALKORI- crizotinib capsule,"0069-0251-60, 0069-0507-60, 0069-1500-60, 0069-8140-20, 0069-8141-20",,,,
132,*,Cyclophosphamide,Acute myeloid leukemia,,,,,,
133,*,Cyclophosphamide,Multiple myeloma,,,,,,
134,*,Cyclophosphamide,Acute lymphoblastic leukemia,,,,,,
135,*,Cyclophosphamide,Retinoblastoma,,,,,,
136,*,Cyclophosphamide,Chronic granulocytic leukemia,,,,,,
137,*,Cyclophosphamide,Breast cancer,,,,,,
138,*,Cyclophosphamide,Hodgkin lymphoma,,,,,,
139,*,Cyclophosphamide,Ovarian cancer,,,,,,
140,*,Cyclophosphamide,Chronic lymphocytic leukemia,,,,,,
141,*,Cyclophosphamide,Chronic myelogenous leukemia,,,,,,
142,*,Cyclophosphamide,Non-Hodgkin lymphoma,,,,,,
143,*,Cyclophosphamide,Neuroblastoma,,,,,,
144,*,Cyclophosphamide,Acute monocytic leukemia,,,,,,
145,*,Cyclophosphamide,Mycosis fungoides,,,,,,
146,*,Cytarabine,Acute non-lymphocytic leukemia,,,,,,
147,*,Cytarabine,Meningeal leukemia,,,,,,
148,*,Cytarabine,Acute lymphoblastic leukemia,,,,,,
149,*,Cytarabine,Chronic myelogenous leukemia,,,,,,
150,BRAF,Dabrafenib Mesylate,Melanoma,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66, 0078-1154-21",,,,Yes
151,BRAF,Dabrafenib Mesylate,Anaplastic thyroid cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66, 0078-1154-21",,,,Yes
152,BRAF,Dabrafenib Mesylate,Glioma,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66, 0078-1154-21",,,,
153,BRAF,Dabrafenib Mesylate,Solid tumors,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66, 0078-1154-21",,,Yes,Yes
154,*,Dabrafenib Mesylate,Non-small cell lung cancer,TAFINLAR- dabrafenib capsule,"0078-0681-66, 0078-0682-66, 0078-1154-21",,,,
155,*,Dacarbazine,Melanoma,,,,,,
156,*,Dacarbazine,Hodgkin lymphoma,,,,,,
157,*,Dacomitinib,Non-small cell lung cancer,"VIZIMPRO- dacomitinib tablet, film coated","0069-0197-30, 0069-1198-30, 0069-2299-30",,,,
158,*,Dactinomycin,Gestational trophoblastic disease,,,,,,
159,*,Dactinomycin,Wilms tumor,,,,,,
160,*,Dactinomycin,Ewing sarcoma,,,,,,
161,*,Dactinomycin,Rhabdomyosarcoma,,,,,,
162,*,Dactinomycin,Solid tumors,,,,,,
163,*,Dactinomycin,Testicular cancer,,,,,,
164,*,Daratumumab,Multiple myeloma,"DARZALEX- daratumumab injection, solution, concentrate","57894-502-05, 57894-502-20, 57894-505-05, 57894-505-20",,,,
