ID,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,negGeProDr_label,firstLine,acceleratedApproval,metastatic
631,*,Thiotepa,Breast cancer,,,,,,
632,*,Thiotepa,Malignant pleural effusion,,,,,,
633,*,Thiotepa,Ovarian cancer,,,,,,
634,*,Thiotepa,Bladder cancer,,,,,,
635,*,Thiotepa,malignant pericardial effusion,,,,,,
636,*,Tisagenlecleucel,B-cell acute lymphoblastic leukemia,"KYMRIAH- tisagenlecleucel injection, suspension","0078-0846-19, 0078-0958-19",,,,
637,*,Tisagenlecleucel,B-cell non-Hodgkin lymphoma,"KYMRIAH- tisagenlecleucel injection, suspension","0078-0846-19, 0078-0958-19",,,,
638,"PD-L1, TEVIMBRA",Tislelizumab-jsgr,Esophageal cancer,"TEVIMBRA- tislelizumab-jsgr injection, solution, concentrate",72579-121-01,,Yes,,Yes
639,*,Tislelizumab-jsgr,Gastric adenocarcinoma,"TEVIMBRA- tislelizumab-jsgr injection, solution, concentrate",72579-121-01,,,,
640,*,Tislelizumab-jsgr,gastroesophageal junction adenocarcinoma,"TEVIMBRA- tislelizumab-jsgr injection, solution, concentrate",72579-121-01,,,,
641,*,Tisotumab Vedotin-tftv,Cervical cancer,"TIVDAK- tisotumab vedotin injection, powder, for solution",51144-003-01,,,,
642,*,Tivozanib Hydrochloride,Renal cell carcinoma,FOTIVDA- tivozanib capsule,"45629-089-01, 45629-089-02, 45629-134-01, 45629-134-02",,,,
643,*,Topotecan Hydrochloride,Ovarian cancer,,,,,,
644,*,Topotecan Hydrochloride,Cervical cancer,,,,,,
645,*,Topotecan Hydrochloride,Small cell lung cancer,,,,,,
646,*,Toremifene Citrate,Breast cancer,FARESTON- toremifene citrate tablet,"42747-327-30, 42747-327-72",,,,
647,*,Tovorafenib,Glioma,OJEMDA- tovorafenib kit,"82950-001-04, 82950-001-05, 82950-001-06, 82950-001-16, 82950-001-20, 82950-001-24, 82950-012-01, 82950-112-10",,,,
648,*,Trabectedin,liposarcoma,"YONDELIS- trabectedin injection, powder, lyophilized, for solution",59676-610-01,,,,
649,*,Trabectedin,leiomyosarcoma,"YONDELIS- trabectedin injection, powder, lyophilized, for solution",59676-610-01,,,,
650,BRAF,Trametinib Dimethyl Sulfoxide,Melanoma,"MEKINIST- trametinib tablet, film coated","0078-1105-15, 0078-1112-15, 0078-1112-94, 0078-1161-47",,,,Yes
651,BRAF,Trametinib Dimethyl Sulfoxide,Anaplastic thyroid cancer,"MEKINIST- trametinib tablet, film coated","0078-1105-15, 0078-1112-15, 0078-1112-94, 0078-1161-47",,,,Yes
652,BRAF,Trametinib Dimethyl Sulfoxide,Glioma,"MEKINIST- trametinib tablet, film coated","0078-1105-15, 0078-1112-15, 0078-1112-94, 0078-1161-47",,,,
653,BRAF,Trametinib Dimethyl Sulfoxide,Solid tumors,"MEKINIST- trametinib tablet, film coated","0078-1105-15, 0078-1112-15, 0078-1112-94, 0078-1161-47",,,Yes,Yes
654,*,Trametinib Dimethyl Sulfoxide,Non-small cell lung cancer,"MEKINIST- trametinib tablet, film coated","0078-1105-15, 0078-1112-15, 0078-1112-94, 0078-1161-47",,,,
655,*,Trastuzumab,Stomach adenocarcinoma,"HERCEPTIN- trastuzumab injection, powder, lyophilized, for solution","50242-132-01, 50242-132-10",,,,
656,*,Trastuzumab,gastroesophageal junction adenocarcinoma,"HERCEPTIN- trastuzumab injection, powder, lyophilized, for solution","50242-132-01, 50242-132-10",,,,
657,"ER/PR, HER2",Trastuzumab,Breast cancer,"HERCEPTIN- trastuzumab injection, powder, lyophilized, for solution","50242-132-01, 50242-132-10",,Yes,,Yes
658,"ER/PR, HER2",Trastuzumab and Hyaluronidase-oysk,Breast cancer,"HERCEPTIN HYLECTA- trastuzumab and hyaluronidase-oysk injection, solution",50242-077-01,,Yes,,Yes
659,"EGFR, ALK, epidermal growth factor receptor",Tremelimumab-actl,Non-small cell lung cancer,"IMJUDO- tremelimumab injection, solution","0310-4505-25, 0310-4535-30",,,,Yes
660,*,Tremelimumab-actl,Hepatocellular carcinoma,"IMJUDO- tremelimumab injection, solution","0310-4505-25, 0310-4535-30",,,,
661,*,Treosulfan,"
acutemyeloidleukemia
","GRAFAPEX- treosulfan injection, powder, lyophilized, for solution","59137-335-01, 59137-365-01",,,,
662,*,Treosulfan,"
myelodysplasticsyndrome
","GRAFAPEX- treosulfan injection, powder, lyophilized, for solution","59137-335-01, 59137-365-01",,,,
663,*,Trifluridine and Tipiracil Hydrochloride,gastroesophageal junction adenocarcinoma,"LONSURF- trifluridine and tipiracil tablet, film coated","64842-1020-1, 64842-1020-2, 64842-1020-3, 64842-1025-1, 64842-1025-2, 64842-1025-3",,,,
664,anti-VEGF,Trifluridine and Tipiracil Hydrochloride,Colorectal cancer,"LONSURF- trifluridine and tipiracil tablet, film coated","64842-1020-1, 64842-1020-2, 64842-1020-3, 64842-1025-1, 64842-1025-2, 64842-1025-3",,,,Yes
665,*,Trifluridine and Tipiracil Hydrochloride,Stomach adenocarcinoma,"LONSURF- trifluridine and tipiracil tablet, film coated","64842-1020-1, 64842-1020-2, 64842-1020-3, 64842-1025-1, 64842-1025-2, 64842-1025-3",,,,
666,*,Tucatinib,Colorectal cancer,TUKYSA- tucatinib tablet,"51144-001-60, 51144-002-12, 51144-002-60",,,Yes,Yes
667,*,Tucatinib,Breast cancer,TUKYSA- tucatinib tablet,"51144-001-60, 51144-002-12, 51144-002-60",,,,Yes
668,*,Uridine Triacetate,Overdoses,,,,,,
669,*,Uridine Triacetate,Cardiac (heart) or central nervous system toxicity or other serious side effects,,,,,,
670,*,Vandetanib,Medullary thyroid cancer,"CAPRELSA- vandetanib tablet, film coated","58468-7820-3, 58468-7840-3",,,,
671,BRAF,Vemurafenib,Erdheim-Chester disease,"ZELBORAF- vemurafenib tablet, film coated",50242-090-02,,,,
672,BRAF,Vemurafenib,Melanoma,"ZELBORAF- vemurafenib tablet, film coated",50242-090-02,,,,Yes
673,*,Venetoclax,Chronic lymphocytic leukemia,VENCLEXTA- venetoclax kit,"0074-0561-11, 0074-0561-14, 0074-0566-07, 0074-0566-11, 0074-0576-11, 0074-0576-22, 0074-0576-30, 0074-0576-34, 0074-0579-28",,,,
674,*,Venetoclax,Acute myeloid leukemia,VENCLEXTA- venetoclax kit,"0074-0561-11, 0074-0561-14, 0074-0566-07, 0074-0566-11, 0074-0576-11, 0074-0576-22, 0074-0576-30, 0074-0576-34, 0074-0579-28",,,,
675,*,Venetoclax,small lymphocytic lymphoma,VENCLEXTA- venetoclax kit,"0074-0561-11, 0074-0561-14, 0074-0566-07, 0074-0566-11, 0074-0576-11, 0074-0576-22, 0074-0576-30, 0074-0576-34, 0074-0579-28",,,,
676,*,Vimseltinib Dihydrate,tenosynovial giant cell tumor,ROMVIMZA- vimseltinib capsule,"73207-302-40, 73207-302-41, 73207-303-40, 73207-303-41, 73207-304-40, 73207-304-41",,,,
677,*,Vinblastine Sulfate,Kaposi sarcoma,VINBLASTINE SULFATE injection,63323-278-10,,,,
678,*,Vinblastine Sulfate,Choriocarcinoma,VINBLASTINE SULFATE injection,63323-278-10,,,,
679,*,Vinblastine Sulfate,Testicular germ cell tumors,VINBLASTINE SULFATE injection,63323-278-10,,,,
680,*,Vinblastine Sulfate,Breast cancer,VINBLASTINE SULFATE injection,63323-278-10,,,,
681,*,Vinblastine Sulfate,Hodgkin lymphoma,VINBLASTINE SULFATE injection,63323-278-10,,,,
682,*,Vinblastine Sulfate,Non-Hodgkin lymphoma,VINBLASTINE SULFATE injection,63323-278-10,,,,
683,*,Vinblastine Sulfate,Mycosis fungoides,VINBLASTINE SULFATE injection,63323-278-10,,,,
684,*,Vincristine Sulfate,Hodgkin lymphoma,,,,,,
685,*,Vincristine Sulfate,Wilms tumor,,,,,,
686,*,Vincristine Sulfate,Acute leukemia,,,,,,
687,*,Vincristine Sulfate,Rhabdomyosarcoma,,,,,,
688,*,Vincristine Sulfate,Neuroblastoma,,,,,,
689,*,Vincristine Sulfate,Non-Hodgkin lymphoma,,,,,,
690,*,Vinorelbine Tartrate,Non-small cell lung cancer,,,,,,
691,*,Vismodegib,Basal cell carcinoma,ERIVEDGE- vismodegib capsule,"50242-140-01, 50242-140-86",,,,
692,*,Vorasidenib Citrate,astrocytoma,"VORANIGO- vorasidenib tablet, film coated","72694-728-40, 72694-879-10",,,,
693,*,Vorasidenib Citrate,oligodendroglioma,"VORANIGO- vorasidenib tablet, film coated","72694-728-40, 72694-879-10",,,,
694,*,Vorinostat,Cutaneous T-cell lymphoma,ZOLINZA- vorinostat capsule,0006-0568-40,,,,
695,*,Zanidatamab-hrii,biliary tract cancer,"ZIIHERA- zanidatamab-hrii injection, powder, lyophilized, for solution","68727-950-01, 68727-950-02",,,,
696,*,Zanubrutinib,Mantle cell lymphoma,BRUKINSA- zanubrutinib capsule,"72579-011-01, 72579-011-02, 72579-122-01",,,Yes,
697,*,Zanubrutinib,Chronic lymphocytic leukemia or small lymphocytic lymphoma,BRUKINSA- zanubrutinib capsule,"72579-011-01, 72579-011-02, 72579-122-01",,,,
698,*,Zanubrutinib,Waldenström macroglobulinemia,BRUKINSA- zanubrutinib capsule,"72579-011-01, 72579-011-02, 72579-122-01",,,,
699,*,Zanubrutinib,Marginal zone lymphoma,BRUKINSA- zanubrutinib capsule,"72579-011-01, 72579-011-02, 72579-122-01",,,Yes,
700,*,Zanubrutinib,Follicular lymphoma,BRUKINSA- zanubrutinib capsule,"72579-011-01, 72579-011-02, 72579-122-01",,,Yes,
701,*,Zenocutuzumab-zbco,"
pancreaticadenocarcinoma
",BIZENGRI- zenocutuzumab injection,"83077-100-01, 83077-100-02",,,,
702,*,Zenocutuzumab-zbco,"
non-smallcelllungcancer
",BIZENGRI- zenocutuzumab injection,"83077-100-01, 83077-100-02",,,,
703,*,Ziv-Aflibercept,Colorectal cancer,"ZALTRAP- ziv-aflibercept solution, concentrate","0024-5840-01, 0024-5840-03, 0024-5841-01",,,,
704,*,Zolbetuximab-clzb,stomach (gastric) cancer,"VYLOY- zolbetuximab injection, powder, for suspension","0469-3425-10, 0469-4425-30",,,,
705,*,Zolbetuximab-clzb,gastroesophageal junction cancer,"VYLOY- zolbetuximab injection, powder, for suspension","0469-3425-10, 0469-4425-30",,,,
706,*,Zoledronic Acid,hypercalcemia,,,,,,
707,*,Zoledronic Acid,multiple myeloma,,,,,,
