therapy_label,disease_label,drug_label,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Tisagenlecleucel,B-cell acute lymphoblastic leukemia,"KYMRIAH- tisagenlecleucel injection, suspension",*,,,,
Carfilzomib,Multiple myeloma,"KYPROLIS- carfilzomib injection, powder, lyophilized, for solution",*,,,,
Lenalidomide,Marginal zone lymphoma,REVLIMID- lenalidomide capsule,*,,,,
Lenalidomide,Multiple myeloma,REVLIMID- lenalidomide capsule,*,,,,
Lenalidomide,Mantle cell lymphoma,REVLIMID- lenalidomide capsule,*,,,,
Lenalidomide,Follicular lymphoma,REVLIMID- lenalidomide capsule,*,,,,
Cemiplimab-rwlc,Basal cell carcinoma,LIBTAYO- cemiplimab-rwlc injection,"hedgehog, LIBTAYO",Yes,,,
Cemiplimab-rwlc,Cutaneous squamous cell carcinoma,LIBTAYO- cemiplimab-rwlc injection,LIBTAYO,Yes,,,
Cemiplimab-rwlc,Non-small cell lung cancer,LIBTAYO- cemiplimab-rwlc injection,"PD-L1, EGFR, ALK, LIBTAYO, ROS1",Yes,Yes,,
Lisocabtagene Maraleucel,follicular lymphoma,BREYANZI- lisocabtagene maraleucel kit,BREYANZI,,,,
Lisocabtagene Maraleucel,mantle cell lymphoma,BREYANZI- lisocabtagene maraleucel kit,"Bruton tyrosine kinase, BTK, BREYANZI",,,,
Trifluridine and Tipiracil Hydrochloride,Colorectal cancer,"LONSURF- trifluridine and tipiracil tablet, film coated",anti-VEGF,Yes,,,
Sotorasib,non-small cell lung cancer,"LUMAKRAS- sotorasib tablet, coated",KRAS,Yes,,Yes,
Sotorasib,colorectal cancer,"LUMAKRAS- sotorasib tablet, coated",KRAS,Yes,,,
Mosunetuzumab-axgb,follicular lymphoma,LUNSUMIO- mosunetuzumab concentrate,*,,,Yes,
Lurbinectedin,Small cell lung cancer,"ZEPZELCA- lurbinectedin injection, powder, lyophilized, for solution",*,Yes,,Yes,
Luspatercept-aamt,Anemia,"REBLOZYL- luspatercept injection, powder, lyophilized, for solution",*,,,,
Olaparib,Prostate cancer,"LYNPARZA- olaparib tablet, film coated",Lynparza,Yes,,,
Trametinib Dimethyl Sulfoxide,Anaplastic thyroid cancer,"MEKINIST- trametinib tablet, film coated",BRAF,Yes,,,
Trametinib Dimethyl Sulfoxide,Solid tumors,"MEKINIST- trametinib tablet, film coated",BRAF,Yes,,Yes,
Trametinib Dimethyl Sulfoxide,Melanoma,"MEKINIST- trametinib tablet, film coated",BRAF,Yes,,,
Trametinib Dimethyl Sulfoxide,Glioma,"MEKINIST- trametinib tablet, film coated",BRAF,,,,
Methylnaltrexone Bromide,Constipation,RELISTOR- methylnaltrexone bromide tablet,*,Yes,,,
Midostaurin,Acute myeloid leukemia,"RYDAPT capsule, liquid filled",FLT3,,,,
Midostaurin,Acute myeloid leukemia,"RYDAPT capsule, liquid filled",FLT3,,,,
Mosunetuzumab-axgb,follicular lymphoma,LUNSUMIO- mosunetuzumab concentrate,*,,,Yes,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Breast cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension",ABRAXANE,Yes,,,
Paclitaxel Albumin-stabilized Nanoparticle Formulation,Non-small cell lung cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension",ABRAXANE,Yes,Yes,,
Neratinib Maleate,Breast cancer,NERLYNX- neratinib tablet,*,Yes,,,
Neratinib Maleate,Breast cancer,NERLYNX- neratinib tablet,*,Yes,,,
Sorafenib Tosylate,Hepatocellular carcinoma,"NEXAVAR- sorafenib tablet, film coated",*,,,,
Sorafenib Tosylate,Renal cell carcinoma,"NEXAVAR- sorafenib tablet, film coated",*,Yes,,,
Nivolumab,hepatocellular carcinoma,OPDIVO- nivolumab injection,OPDIVO,Yes,Yes,,
Nivolumab,non-small cell lung cancer,OPDIVO- nivolumab injection,"PD-L1, EGFR, ALK, epidermal growth factor receptor, OPDIVO",Yes,Yes,,
Nivolumab,melanoma,OPDIVO- nivolumab injection,OPDIVO,Yes,,,
Nivolumab,urothelial carcinoma,OPDIVO- nivolumab injection,OPDIVO,Yes,Yes,,
Nivolumab,malignant pleural mesothelioma,OPDIVO- nivolumab injection,OPDIVO,,Yes,,
Nivolumab,renal cell carcinoma,OPDIVO- nivolumab injection,OPDIVO,Yes,Yes,,
Nivolumab,squamous cell carcinoma of the head and neck,OPDIVO- nivolumab injection,OPDIVO,Yes,,,
Nivolumab,colorectal cancer,OPDIVO- nivolumab injection,OPDIVO,Yes,,,
Nivolumab,esophageal cancer,OPDIVO- nivolumab injection,"PD-L1, OPDIVO",Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,hepatocellular carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",*,Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,non-small cell lung cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","EGFR, ALK, epidermal growth factor receptor",Yes,,,
Nivolumab and Hyaluronidase-nvhy,melanoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",*,Yes,,,
Nivolumab and Hyaluronidase-nvhy,urothelial carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",*,Yes,Yes,,
Nivolumab and Hyaluronidase-nvhy,esophageal adenocarcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution",PD-L1,Yes,,,
